level,category,player,time
rw6n84rd,w2019gjk,j4r49gw8,31.815
rw6n84rd,w2019gjk,xylz5rzj,25.735
xd434j29,w2019gjk,v8ldrplj,37.198
xd434j29,w2019gjk,v8ldrplj,36.941
xd434j29,w2019gjk,v8ldrplj,37.069
xd434j29,w2019gjk,v8ldrplj,36.944
xd434j29,w2019gjk,8r7mg23j,36.876
xd434j29,w2019gjk,v8ldrplj,36.384
xd434j29,w2019gjk,v8ldrplj,36.808
xd434j29,w2019gjk,v8ldrplj,36.719
xd434j29,w2019gjk,v8ldrplj,36.636
xd434j29,w2019gjk,v8ldrplj,36.603
rw6n84rd,w2019gjk,v8ldrplj,25.793
xd434j29,w2019gjk,v8ldrplj,36.5
xd4px00d,w2019gjk,v8ldrplj,32.302
xd4px00d,w2019gjk,v8ldrplj,28.479
xd4px00d,w2019gjk,8gevd9rj,28.47
xd4px00d,w2019gjk,v8ldrplj,28.447
xd4px00d,w2019gjk,jn3k3rdx,28.42
29vk433d,w2019gjk,y8dzzloj,19.932
29vk433d,w2019gjk,98rokn38,19.604
29vk433d,w2019gjk,y8dzzloj,19.271
29vk433d,w2019gjk,v8ldrplj,18.417
rw6n84rd,w2019gjk,v8ldrplj,25.591
29vk433d,w2019gjk,v8ldrplj,17.781
29vk433d,w2019gjk,j5wdz46j,18.061
29vk433d,w2019gjk,v8ldrplj,17.712
29vk433d,w2019gjk,j5wdz46j,17.281
29vk433d,w2019gjk,v8ldrplj,16.806
29vk433d,w2019gjk,jn3k3rdx,16.567
29vk433d,w2019gjk,v8ldrplj,16.551
29vk433d,w2019gjk,v8ldrplj,16.267
nwl7ql09,w2019gjk,Lew,38.256
nwl7ql09,w2019gjk,Lew,37.898
rw6n84rd,w2019gjk,xylz5rzj,25.566
nwl7ql09,w2019gjk,Lew,38.028
nwl7ql09,w2019gjk,v8ldrplj,37.624
nwl7ql09,w2019gjk,jpmvno4j,37.174
nwl7ql09,w2019gjk,v8ldrplj,36.451
rw623qnd,w2019gjk,v8ldrplj,35.944
rw623qnd,w2019gjk,v8ldrplj,33.165
rw623qnd,w2019gjk,v8ldrplj,32.791
rw623qnd,w2019gjk,8gevd9rj,32.545
rw623qnd,w2019gjk,j42qpg5x,31.217
rw623qnd,w2019gjk,jn3k3rdx,30.797
29vg2m19,w2019gjk,y8dzzloj,20.008
rw623qnd,w2019gjk,xk4m2g9j,30.099
rw623qnd,w2019gjk,v8ldrplj,29.693
rw623qnd,w2019gjk,xk4m2g9j,29.579
rw623qnd,w2019gjk,v8ldrplj,29.565
rw6n84rd,wdm4pxed,v8ldrplj,24.661
rw6n84rd,wdm4pxed,v8ldrplj,28.223
rw6n84rd,wdm4pxed,v8ldrplj,25.163
rw6n84rd,wdm4pxed,v8ldrplj,24.975
rw6n84rd,wdm4pxed,v8ldrplj,24.966
rw6n84rd,wdm4pxed,v8ldrplj,24.832
29vg2m19,w2019gjk,v8ldrplj,18.336
rw6n84rd,wdm4pxed,v8ldrplj,24.793
rw6n84rd,wdm4pxed,v8ldrplj,24.515
rw6n84rd,wdm4pxed,v8ldrplj,24.464
29vg2m19,wdm4pxed,j5wdz46j,19.474
29vg2m19,wdm4pxed,v8ldrplj,17.628
29vg2m19,wdm4pxed,v8ldrplj,17.143
29vg2m19,wdm4pxed,jn3k3rdx,16.996
29vg2m19,wdm4pxed,jn3k3rdx,14.209
29vg2m19,wdm4pxed,v8ldrplj,13.415
n93gv7nd,wdm4pxed,v8ldrplj,27.882
29vg2m19,w2019gjk,v8ldrplj,17.777
n93gv7nd,wdm4pxed,j5wdz46j,27.102
n93gv7nd,wdm4pxed,v8ldrplj,25.515
n93gv7nd,wdm4pxed,j5wdz46j,25.353
n93gv7nd,wdm4pxed,v8ldrplj,24.958
n93gv7nd,wdm4pxed,v8ldrplj,23.944
n93gv7nd,wdm4pxed,8gevd9rj,23.927
n93gv7nd,wdm4pxed,jn3k3rdx,23.882
n93gv7nd,wdm4pxed,v8ldrplj,23.784
n93gv7nd,wdm4pxed,v8ldrplj,23.745
n93gv7nd,wdm4pxed,jn3k3rdx,23.491
29vg2m19,w2019gjk,jn3k3rdx,17.775
gdrqme69,wdm4pxed,v8ldrplj,29.682
