split,time
1,0.155
2,0.305
3,0.455
4,0.606
5,0.757
6,0.908
7,1.061
8,1.214
9,1.368
10,1.522
11,1.678
12,1.834
13,1.989
14,2.144
15,2.3
16,2.458
17,2.617
18,2.777
19,2.939
20,3.103
21,3.267
22,3.433
23,3.61
24,3.787
25,3.96
26,4.136
27,4.315
28,4.496
29,4.678
30,4.86
31,5.042
32,5.224
33,5.407
34,5.579
35,5.746
36,5.915
37,6.086
38,6.254
39,6.42
40,6.584
41,6.749
42,6.914
43,7.083
44,7.259
45,7.44
46,7.629
47,7.824
48,8.031
49,8.243
50,8.464
51,8.69
52,8.903
53,9.103
54,9.295
55,9.486
56,9.67
57,9.85
58,10.028
59,10.209
60,10.392
61,10.574
62,10.755
63,10.934
64,11.113
65,11.287
66,11.453
67,11.616
68,11.777
69,11.937
70,12.096
71,12.255
72,12.414
73,12.575
74,12.738
75,12.905
76,13.073
77,13.244
78,13.417
79,13.591
80,13.767
81,13.947
82,14.13
83,14.316
84,14.503
85,14.691
86,14.888
87,15.106
88,15.354
89,15.623
90,15.906
91,16.176
92,16.425
93,16.66
94,16.88
95,17.086
96,17.272
97,17.456
98,17.64
99,17.819
100,17.994
