split,segment_time
Proving Grounds (1/3),57.844
Proving Grounds (2/3),118.378
Proving Grounds (3/3),80.260
Big Block Brawl (1/3),60.906
Big Block Brawl (2/3),81.380
Big Block Brawl (3/3),58.303
Tuner Skirmish (1/3),129.703
Tuner Skirmish (2/3),158.886
Tuner Skirmish (3/3),85.629
100 HP Grand Prix (1/3),82.658
100 HP Grand Prix (2/3),262.462
100 HP Grand Prix (3/3),168.243
Turbocharged Tour (1/3),89.745
Turbocharged Tour (2/3),79.576
Turbocharged Tour (3/3),114.587
Off-Road Rumble (1/3),112.139
Off-Road Rumble (2/3),167.325
Off-Road Rumble (3/3),100.368
Street Legal Series (1/3),57.543
Street Legal Series (2/3),79.886
Street Legal Series (3/3),50.865
200 HP Grand Prix (1/3),247.073
200 HP Grand Prix (2/3),132.568
200 HP Grand Prix (3/3),154.145
White Knuckle Nightmare (1/3),42.088
White Knuckle Nightmare (2/3),150.279
White Knuckle Nightmare (3/3),103.465
Wrecking Ball Showdown (1/3),52.579
Wrecking Ball Showdown (2/3),66.047
Wrecking Ball Showdown (3/3),78.242
Technical Summit (1/3),110.397
Technical Summit (2/3),82.296
Technical Summit (3/3),81.125
300 HP Grand Prix (1/3),94.315
300 HP Grand Prix (2/3),231.018
300 HP Grand Prix (3/3),155.597
