split,segment_time
Proving Grounds (1/3),60.739
Proving Grounds (2/3),124.568
Proving Grounds (3/3),84.069
Big Block Brawl (1/3),101.126
Big Block Brawl (2/3),89.572
Big Block Brawl (3/3),60.948
Tuner Skirmish (1/3),131.54
Tuner Skirmish (2/3),167.397
Tuner Skirmish (3/3),85.266
100 HP Grand Prix (1/3),93.097
100 HP Grand Prix (2/3),268.81
100 HP Grand Prix (3/3),199.056
Turbocharged Tour (1/3),94.53
Turbocharged Tour (2/3),89.836
Turbocharged Tour (3/3),122.542
Off-Road Rumble (1/3),122.212
Off-Road Rumble (2/3),171.995
Off-Road Rumble (3/3),103.197
Street Legal Series (1/3),58.243
Street Legal Series (2/3),81.734
Street Legal Series (3/3),68.691
200 HP Grand Prix (1/3),267.433
200 HP Grand Prix (2/3),134.085
200 HP Grand Prix (3/3),191.835
White Knuckle Nightmare (1/3),54.474
White Knuckle Nightmare (2/3),157.271
White Knuckle Nightmare (3/3),132.821
Wrecking Ball Showdown (1/3),60.459
Wrecking Ball Showdown (2/3),68.727
Wrecking Ball Showdown (3/3),83.739
Technical Summit (1/3),111.036
Technical Summit (2/3),75.833
Technical Summit (3/3),79.529
300 HP Grand Prix (1/3),95.172
300 HP Grand Prix (2/3),235.584
300 HP Grand Prix (3/3),178.935
