Name,file
All Championships,allchamps.csv
100 HP Championship,100hpchamp.csv
200 HP Championship,200hpchamp.csv
300 HP Championship,300hpchamp.csv
Proving Grounds,provinggrounds.csv
Big Block Brawl,brawl.csv
Tuner Skirmish,tuner.csv
100 HP Grand Prix,100hpgp.csv
Turbocharged Tour,turbocharged.csv
Off-Road Rumble,offroad.csv
Street Legal Series,streetlegal.csv
200 HP Grand Prix,200hpgp.csv
White Knuckle Nightmare,whiteknuckle.csv
Wrecking Ball Showdown,showdown.csv
Technical Summit,summit.csv
300 HP Grand Prix,300hpgp.csv
